category_key,category_label,table_number,table_title,prefecture_code,prefecture,households,birds_thousand
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,8,茨城県,36,1350
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,9,栃木県,8,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,10,群馬県,26,1587
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,11,埼玉県,1,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,12,千葉県,24,1935
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,13,東京都,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,14,神奈川県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,15,新潟県,10,1201
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,16,富山県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,17,石川県,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,18,福井県,3,91
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,19,山梨県,8,392
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,20,長野県,18,696
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,21,岐阜県,11,939
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,22,静岡県,18,947
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,23,愛知県,12,962
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,24,三重県,8,662
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,25,滋賀県,2,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,26,京都府,11,535
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,27,大阪府,,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,28,兵庫県,32,2412
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,29,奈良県,1,
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,30,和歌山県,16,231
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,31,鳥取県,11,3151
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,32,島根県,4,377
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,33,岡山県,18,2840
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,34,広島県,8,647
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,35,山口県,22,1497
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,36,徳島県,134,3855
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,37,香川県,30,2119
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,38,愛媛県,22,957
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,39,高知県,9,397
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,40,福岡県,30,1168
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,41,佐賀県,62,3929
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,42,長崎県,48,3297
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,43,熊本県,56,3746
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,44,大分県,42,1782
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,45,宮崎県,442,28155
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,46,鹿児島県,402,32003
broilers,ブロイラー,5,飼養戸数・羽数（全国農業地域・都道府県別）,47,沖縄県,15,624
